label,date,value,low,high
Approve,2009-05-19,58.5594,,
Approve,2009-05-19,58.5594,,
Approve,2009-05-20,58.5095,,
Approve,2009-05-21,58.4453,,
Approve,2009-05-22,58.3935,,
Approve,2009-05-24,58.2872,,
Approve,2009-05-25,58.2328,,
Approve,2009-05-28,58.0655,,
Approve,2009-05-28,58.0655,,
Approve,2009-05-31,57.8804,,
Approve,2009-05-31,57.8804,,
Approve,2009-05-31,57.8804,,
Approve,2009-06-01,57.8342,,
Approve,2009-06-01,57.8342,,
Approve,2009-06-01,57.8342,,
Approve,2009-06-01,57.8342,,
Approve,2009-06-02,57.7751,,
Approve,2009-06-03,57.7279,,
Approve,2009-06-03,57.7279,,
Approve,2009-06-03,57.7279,,
Approve,2009-06-06,57.5455,,
Approve,2009-06-06,57.5455,,
Approve,2009-06-07,57.4834,,
Approve,2009-06-08,57.4206,,
Approve,2009-06-09,57.3451,,
Approve,2009-06-09,57.3451,,
Approve,2009-06-09,57.3451,,
Approve,2009-06-10,57.2926,,
Approve,2009-06-12,57.1615,,
Approve,2009-06-12,57.1615,,
Approve,2009-06-14,57.0159,,
Approve,2009-06-15,56.9476,,
Approve,2009-06-15,56.9476,,
Approve,2009-06-15,56.9476,,
Approve,2009-06-15,56.9476,,
Approve,2009-06-16,56.8893,,
Approve,2009-06-16,56.8893,,
Approve,2009-06-16,56.8893,,
Approve,2009-06-18,56.7589,,
Approve,2009-06-18,56.7589,,
Approve,2009-06-18,56.7589,,
Approve,2009-06-21,56.5214,,
Approve,2009-06-21,56.5214,,
Approve,2009-06-21,56.5214,,
Approve,2009-06-22,56.4477,,
Approve,2009-06-22,56.4477,,
Approve,2009-06-23,56.3644,,
Approve,2009-06-24,56.2897,,
Approve,2009-06-25,56.2223,,
Approve,2009-06-27,56.0685,,
Approve,2009-06-28,55.9906,,
Approve,2009-06-28,55.9906,,
Approve,2009-06-29,55.9179,,
Approve,2009-06-30,55.8382,,
Approve,2009-06-30,55.8382,,
Approve,2009-07-01,55.7623,,
Approve,2009-07-05,55.4349,,
Approve,2009-07-06,55.3527,,
Approve,2009-07-07,55.2705,,
Approve,2009-07-08,55.1886,,
Approve,2009-07-09,55.1069,,
Approve,2009-07-11,54.9486,,
Approve,2009-07-12,54.869,,
Approve,2009-07-12,54.869,,
Approve,2009-07-12,54.869,,
Approve,2009-07-13,54.7953,,
Approve,2009-07-13,54.7953,,
Approve,2009-07-14,54.7176,,
Approve,2009-07-14,54.7176,,
Approve,2009-07-15,54.6337,,
Approve,2009-07-16,54.5639,,
Approve,2009-07-17,54.4803,,
Approve,2009-07-18,54.4046,,
Approve,2009-07-18,54.4046,,
Approve,2009-07-19,54.3384,,
Approve,2009-07-20,54.2555,,
Approve,2009-07-20,54.2555,,
Approve,2009-07-20,54.2555,,
Approve,2009-07-21,54.1821,,
Approve,2009-07-21,54.1821,,
Approve,2009-07-22,54.1094,,
Approve,2009-07-23,54.0274,,
Approve,2009-07-23,54.0274,,
Approve,2009-07-24,53.956,,
Approve,2009-07-24,53.956,,
Approve,2009-07-26,53.8158,,
Approve,2009-07-26,53.8158,,
Approve,2009-07-26,53.8158,,
Approve,2009-07-27,53.7469,,
Approve,2009-07-27,53.7469,,
Approve,2009-07-28,53.6905,,
Approve,2009-07-28,53.6905,,
Approve,2009-07-28,53.6905,,
Approve,2009-07-29,53.6118,,
Approve,2009-07-30,53.5456,,
Approve,2009-08-01,53.416,,
Approve,2009-08-02,53.3526,,
Approve,2009-08-03,53.3028,,
Approve,2009-08-03,53.3028,,
Approve,2009-08-03,53.3028,,
Approve,2009-08-04,53.2415,,
Approve,2009-08-04,53.2415,,
Approve,2009-08-05,53.1682,,
Approve,2009-08-06,53.0959,,
Approve,2009-08-07,53.0246,,
Approve,2009-08-08,52.9545,,
Approve,2009-08-10,52.8304,,
Approve,2009-08-11,52.7889,,
Approve,2009-08-11,52.7889,,
Approve,2009-08-12,52.7483,,
Approve,2009-08-13,52.6962,,
Approve,2009-08-13,52.6962,,
Approve,2009-08-14,52.6575,,
Approve,2009-08-16,52.558,,
Approve,2009-08-17,52.5218,,
Approve,2009-08-17,52.5218,,
Approve,2009-08-17,52.5218,,
Approve,2009-08-17,52.5218,,
Approve,2009-08-17,52.5218,,
Approve,2009-08-18,52.462,,
Approve,2009-08-18,52.462,,
Approve,2009-08-18,52.462,,
Approve,2009-08-19,52.4153,,
Approve,2009-08-19,52.4153,,
Approve,2009-08-20,52.3695,,
Approve,2009-08-20,52.3695,,
Approve,2009-08-22,52.2804,,
Approve,2009-08-23,52.2482,,
Approve,2009-08-25,52.1526,,
Approve,2009-08-25,52.1526,,
Approve,2009-08-26,52.1116,,
Approve,2009-08-27,52.0714,,
Approve,2009-08-28,52.0319,,
Approve,2009-08-29,51.9932,,
Approve,2009-08-31,51.9374,,
Approve,2009-08-31,51.9374,,
Approve,2009-08-31,51.9374,,
Approve,2009-08-31,51.9374,,
Approve,2009-08-31,51.9374,,
